League: National Hockey League - Season: 2024-25              ,Date: 12.3.24
--------------------------------------------------------------
Regular Season
--------------------------------------------------------------
Name                                                          ,Team         ,Pos    ,GP,G ,A ,P ,+/-,PIM,PPg ,PPa  ,PPp,SHg,SHa,SHp,GWG ,GT,FG,EN,SOG,Sh  ,HT ,GA,TA,FO  ,SB,2 ,5,Mi,Ma,GM,FI,FW,ATOI ,APPT,APKT,+ ,- ,FS,Av R,
Auston Matthews                                               ,Anaheim      ,C      ,28,10,11,21,0  ,8  ,5   ,3    ,8  ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,66 ,15.2,77 ,10,18,0.59,24,4 ,0,0 ,0 ,0 ,0 ,0 ,19:31,2:06,3:48,17,17,4 ,7.50,
Timo Intonen                                                  ,Ottawa       ,RD     ,28,9 ,12,21,8  ,6  ,4   ,6    ,10 ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,58 ,15.5,82 ,9 ,13,0   ,67,3 ,0,0 ,0 ,0 ,0 ,0 ,22:57,4:00,2:10,29,21,0 ,8.07,
Tom Wilson                                                    ,Minnesota    ,RW     ,27,9 ,12,21,5  ,48 ,1   ,3    ,4  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,54 ,16.7,88 ,5 ,14,0.07,9 ,14,4,0 ,0 ,0 ,4 ,4 ,16:13,1:06,1:15,23,18,4 ,7.56,
Victor Olofsson                                               ,Buffalo      ,LW/RW  ,28,8 ,13,21,9  ,4  ,0   ,2    ,2  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,80 ,10.0,42 ,6 ,1 ,0.40,19,2 ,0,0 ,0 ,0 ,0 ,0 ,17:15,2:20,1:10,22,13,1 ,7.68,
Filip Zadina                                                  ,Detroit      ,LW/RW  ,28,7 ,14,21,-5 ,10 ,4   ,3    ,7  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,100,7.0 ,40 ,7 ,3 ,0   ,10,5 ,0,0 ,0 ,0 ,0 ,0 ,17:17,2:35,0:53,20,25,1 ,7.46,
Cale Makar                                                    ,Colorado     ,RD/LD  ,29,1 ,20,21,10 ,4  ,0   ,10   ,10 ,0  ,1  ,1  ,1   ,0 ,0 ,0 ,63 ,1.6 ,49 ,9 ,25,0   ,59,2 ,0,0 ,0 ,0 ,0 ,0 ,24:33,2:45,2:33,29,19,0 ,7.90,
Alexis Lafrenière                                             ,Minnesota    ,LW/C   ,27,15,5 ,20,0  ,20 ,4   ,2    ,6  ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,112,13.4,69 ,11,14,0.13,23,10,0,0 ,0 ,0 ,0 ,0 ,18:54,3:01,3:02,20,20,4 ,7.81,
Nikita Kucherov                                               ,Tampa Bay    ,RW     ,28,12,8 ,20,13 ,14 ,2   ,3    ,5  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,90 ,13.3,45 ,16,10,0.00,28,7 ,0,0 ,0 ,0 ,0 ,0 ,19:08,3:02,2:40,24,11,0 ,7.68,
Phil Kessel                                                   ,Arizona      ,RW     ,29,11,9 ,20,11 ,4  ,2   ,2    ,4  ,0  ,0  ,0  ,1   ,0 ,3 ,0 ,70 ,15.7,58 ,5 ,3 ,0.00,9 ,2 ,0,0 ,0 ,0 ,0 ,0 ,16:03,2:20,0:15,23,12,1 ,7.66,
Tomás Hertl                                                   ,San Jose     ,C/LW   ,29,11,9 ,20,-1 ,6  ,1   ,3    ,4  ,2  ,1  ,3  ,0   ,0 ,1 ,0 ,61 ,18.0,82 ,7 ,10,0.59,45,3 ,0,0 ,0 ,0 ,0 ,0 ,19:24,2:12,2:48,23,24,0 ,7.07,
Clayton Keller                                                ,Arizona      ,LW/RW  ,29,11,9 ,20,7  ,7  ,0   ,1    ,1  ,0  ,0  ,0  ,1   ,0 ,3 ,0 ,71 ,15.5,34 ,8 ,2 ,0.19,6 ,1 ,1,0 ,0 ,0 ,0 ,0 ,17:53,2:31,1:31,29,22,1 ,7.31,
Ryan Nugent-Hopkins                                           ,Edmonton     ,C/LW   ,30,11,9 ,20,-8 ,16 ,4   ,3    ,7  ,0  ,0  ,0  ,3   ,0 ,5 ,0 ,48 ,22.9,55 ,5 ,8 ,0.52,29,8 ,0,0 ,0 ,0 ,0 ,0 ,16:51,2:21,1:10,13,21,0 ,6.87,
Brayden Point                                                 ,Tampa Bay    ,C      ,28,11,9 ,20,3  ,18 ,2   ,1    ,3  ,0  ,0  ,0  ,1   ,0 ,4 ,0 ,46 ,23.9,26 ,4 ,4 ,0.59,10,9 ,0,0 ,0 ,0 ,0 ,0 ,16:34,1:45,0:34,20,17,1 ,6.68,
Jakub Vorácek                                                 ,Arizona      ,RW     ,24,10,10,20,9  ,4  ,0   ,3    ,3  ,0  ,0  ,0  ,2   ,0 ,0 ,0 ,73 ,13.7,57 ,7 ,8 ,0.00,28,2 ,0,0 ,0 ,0 ,0 ,0 ,18:37,3:03,2:49,23,14,3 ,7.75,
Patrick Kane                                                  ,Washington   ,RW     ,28,10,10,20,6  ,10 ,1   ,7    ,8  ,1  ,0  ,1  ,3   ,0 ,2 ,0 ,88 ,11.4,52 ,14,7 ,0.14,24,5 ,0,0 ,0 ,0 ,0 ,0 ,19:10,3:35,2:55,19,13,3 ,7.57,
James van Riemsdyk                                            ,Vancouver    ,LW     ,29,10,10,20,10 ,12 ,2   ,2    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,84 ,11.9,98 ,7 ,4 ,0.05,17,6 ,0,0 ,0 ,0 ,0 ,0 ,18:03,2:43,2:03,26,16,4 ,7.62,
